231,Australasian Symposium on Parallel and Distributed Computing (was AusGrid),AusPDC,CORE2018,Australasian,Yes,0805,,
233,Australasian Urban and Regional Information Systems Association Conference,AURISA,CORE2018,Australasian,Yes,0806,,
234,Australasian User Interface Conference,AUIC,CORE2018,Australasian,Yes,0806,,
236,Australasian Women in Computing Workshop,WIC,CORE2018,Australasian,Yes,0899,,
237,Australasian Workshop on Combinatorial Algorithms,AWOCA,CORE2018,Australasian,Yes,0802,,
238,Australasian Workshop on Health Data and Knowledge Management,HDKM,CORE2018,Australasian,Yes,0804,,
241,Australian and New Zealand Academy of Management Conference,ANZAM,CORE2018,Australasian,Yes,0806,,
244,Australian and New Zealand Intelligent Information Systems Conference,ANZIIS,CORE2018,Australasian,Yes,0806,,
245,Australian and New Zealand Marketing Academy Conference,ANZMAC,CORE2018,Australasian,Yes,0806,,
247,Australian Computer Human Interaction Conference,OZCHI,CORE2018,Australasian,Yes,0806,1203,
248,Australian Conference for Knowledge Management and Intelligent Decision Support,ACKMIDS,CORE2018,Australasian,Yes,0801,,
249,Australian Conference on Artificial Life and Computational Intelligence,ACALCI,CORE2018,Australasian,Yes,0801,,
2094,Australian Conference on Mathematics and Computers in Sport,MCSpo,CORE2018,Australasian,Yes,,,
251,Australian Conference on Neural Networks,ACNN,CORE2018,Australasian,Yes,0801,,
252,Australian Conference on Software Metrics,ACOSM,CORE2018,Australasian,Yes,0803,,
253,Australian Data Mining Conference,AusDM,CORE2018,Australasian,Yes,0804,,
254,Australian Digital Forensics Conference,,CORE2018,Australasian,Yes,0804,,
256,Australian Game Developers Conference,AGDC,CORE2018,Australasian,Yes,0806,,
258,Australian Information Security Management Conference,,CORE2018,Australasian,Yes,0804,,
259,Australian Information Warfare and Security Conference,WarSec,CORE2018,Australasian,Yes,0806,,
261,Australian Institute of Computer Ethics Conference,AICE,CORE2018,Australasian,Yes,0806,,
1959,Australian Institute of Computer Ethics Conference,AICEC,CORE2018,Australasian,No,,,
1980,Australian Joint Conference on Artificial Intelligence,AusAI,CORE2018,Australasian,Yes,,,
262,Australian Knowledge Acquisition Workshop,AKAW,CORE2018,Australasian,Yes,0801,,
263,Australian MADYMO Users Meeting,MADYMO,CORE2018,Australasian,Yes,0801,,
264,Australian MATLAB Conference,MATLAB,CORE2018,Australasian,Yes,0802,,
266,Australian Software Engineering Conference,ASWEC,CORE2018,Australasian,Yes,0803,,
267,Australian Supercomputing Conference,ACS,CORE2018,Australasian,Yes,0805,,
268,Australian Symposium on Information Visualisation,ASIV,CORE2018,Australasian,Yes,0801,,
269,Australian Telecommunication Networks and Applications Conference,ATNAC,CORE2018,Australasian,Yes,1005,,
271,Australian UNIX Users Group National Conference,AUUG,CORE2018,Australasian,Yes,0803,,
1981,Australian Women in IT Conference,AusWIT,CORE2018,Australasian,Yes,,,
273,Australian Women in IT Conference,OzWIT,CORE2018,Australasian,Yes,0899,,
274,"Australian Workshop on Mobile Computing, Databases and Applications",MCDA,CORE2018,Australasian,Yes,0806,,
275,Australian Workshop on Requirements Engineering,AWRE,CORE2018,Australasian,Yes,0803,0806,
276,Australian Workshop on Safety Critical Systems and Software,SCSS,CORE2018,Australasian,Yes,1005,,
277,Australian Workshop on Software Architecture,AWSA,CORE2018,Australasian,Yes,0803,,
278,Australian World Wide Web Conference,AusWeb,CORE2018,Australasian,Yes,0805,,
279,Automated Software Engineering Conference,ASE,CORE2018,A,No,0803,,
281,Automation of Software Test,AST,CORE2018,C,No,0804,,
285,Bioinformatics Visualization,BioViz,CORE2018,C,No,0801,,
288,Body Sensor Networks,BSN,CORE2018,C,No,0806,,
294,British Computer Society Conference on Human-Computer Interaction,HCI,CORE2018,National,Yes,0806,,
2190,CENTERIS - Conference on ENTERprise Information Systems,CENTERIS,CORE2018,Unranked,No,0806,,
308,CGAL User Workshop,CGAL,CORE2018,C,No,0802,,
310,Challenges of Large Applications in Distributed Environments,CLADE,CORE2018,C,No,0805,,
317,Collaborative Electronic Commerce Technology and Research,CollECTeR,CORE2018,B,Yes,0806,,
318,"Colloquium on Mathematics and Computer Science: Algorithms, Trees, Combinatorics and Probabilities",MathInfo,CORE2018,C,No,0802,,
319,Cologne-Twente Workshop on Graphs and Combinatorial Optimization,CTW,CORE2018,C,No,0802,,
321,Combinatorial Pattern Matching,CPM,CORE2018,B,No,0802,0804,
322,Committee on Data for Science and Technology,CODATA,CORE2018,C,No,0804,,
323,Complex Objects Visualization Workshop,COV,CORE2018,C,No,0801,,
324,Complexity and information-theoretic approaches to biology,CITB,CORE2018,B,No,0803,,
326,Computability in Europe: Logic and Theory of Algorithms,CiE,CORE2018,C,No,0802,,
327,Computational Intelligence in Security for Information Systems,CISIS,CORE2018,B,No,0803,,
328,Computational Techniques and Applications Conference,CTAC,CORE2018,C,No,0802,,
329,Computational Topology Workshop,CT,CORE2018,C,No,0802,,
331,Computer Aided Verification,CAV,CORE2018,A*,Yes,0802,,
333,"Computer Animation, Information Visualisation, and Digital Effects",CAivDE,CORE2018,C,No,0801,,
335,Computer Graphics International,CGI,CORE2018,B,Yes,0801,,
336,Computer Science Research Conference,CSRC,CORE2018,C,No,08,,
337,Computer Supported Collaborative Learning,CSCL,CORE2018,A,Yes,0806,,
341,Computing in Education Group of Victoria Conference,CEG,CORE2018,C,Yes,0899,,
342,Computing: The Australasian Theory Symposium,CATS,CORE2018,Australasian,Yes,0802,,
